index,LST_Celsius,year,lat,lon,impervious,Pv,NDWI,elev,GEOID,Median_Household_Income,High_School_Diploma_25plus,Unemployment,Median_Housing_Value,Median_Gross_Rent,Renter_Occupied_Housing_Units,Total_Population,Median_Age,Per_Capita_Income,Families_Below_Poverty,year_centered,climate_category_Arid (Cold),climate_category_Arid (Hot),climate_category_Mediterranean,climate_category_Semi-Arid (Cold),urban_rural_classification_U,urban_rural_classification_nan,polygon_id,climate_lbl,urban_lbl,peer,LST_resid,E,S,AC,HVI_raw,HVI_score,HVI_level
280.0,43.166831683168354,2013.0,34.01470823318569,-117.70176010176031,59.7923000000002,0.3710292491386082,-0.12071734,217.0,60710005031.0,44736.0,312.0,139.0,196600.0,1504.0,278.0,1684.0,29.5,18263.0,44.0,-3.661217181242137,0.0,0.0,1.0,0.0,1.0,0.0,2259,Mediterranean,Urban,Mediterranean|Urban,0.14297756210245893,0.46336414347572197,0.3706940321189167,0.6844277070126521,0.47977582277606645,47.98,1
339.0,43.35536082474229,2013.0,34.02369138602688,-117.62989487903074,55.5747999999983,0.4098992506953586,-0.13941401,235.0,60710018063.0,69153.0,413.0,77.0,316900.0,2001.0,66.0,2628.0,30.8,19348.0,33.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2260,Mediterranean,NonUrban,Mediterranean|NonUrban,-1.2134204981941537,0.5669055739523736,0.29099080425924834,0.3932862645463247,0.44940728116322626,44.94,1
229.0,43.94663366336634,2013.0,34.00572508034449,-117.66582749039551,50.54349999999511,0.4541812930094684,-0.15015164,213.0,60710019013.0,113068.0,59.0,126.0,395800.0,2001.0,74.0,2018.0,31.2,28981.0,0.0,-3.661217181242137,0.0,0.0,1.0,0.0,1.0,0.0,2261,Mediterranean,Urban,Mediterranean|Urban,0.9073323785722778,0.4863874024778219,0.39956519627682796,0.4150424771491659,0.4460717555517925,44.61,1
4020.0,39.53960000000002,2013.0,34.140472372962414,-117.67481064323673,47.81579999999872,0.5006341514282457,-0.17872447,555.0,60710008132.0,101734.0,236.0,106.0,451400.0,1828.0,73.0,1732.0,50.2,39333.0,0.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2262,Mediterranean,NonUrban,Mediterranean|NonUrban,-4.163272754500852,0.4312552425269522,0.39923416611636664,0.263125966842741,0.3880230644669343,38.8,0
405.0,42.778453608247446,2013.0,34.03267453886807,-117.63887803187194,56.51090000000293,0.3924823183975043,-0.13332428,254.0,60710018102.0,47250.0,328.0,170.0,138900.0,1352.0,204.0,1761.0,31.6,15312.0,33.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2264,Mediterranean,NonUrban,Mediterranean|NonUrban,-1.7389143934381366,0.5463243663477959,0.329059417820583,0.5935381109077421,0.49058763070162126,49.06,1
284.0,42.79420000000001,2013.0,34.01470823318569,-117.66582749039551,53.71550000000236,0.4710903325531714,-0.15820491,222.0,60710019011.0,109800.0,257.0,55.0,349300.0,2001.0,99.0,1764.0,36.0,32594.0,0.0,-3.661217181242137,0.0,0.0,1.0,0.0,1.0,0.0,2265,Mediterranean,Urban,Mediterranean|Urban,-0.21034516640568057,0.42535028851986006,0.31346780631608767,0.4294039174652921,0.39259626964781474,39.26,0
1823.0,42.3892079207921,2013.0,34.08657345591524,-117.62091172618956,55.73790000000421,0.4220625901153576,-0.12896758,341.0,60710013071.0,54527.0,194.0,156.0,225400.0,1883.0,89.0,2237.0,28.4,13618.0,79.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2271,Mediterranean,NonUrban,Mediterranean|NonUrban,-1.89274118885006,0.533235651483934,0.392969931991663,0.4788789329045252,0.480284591920371,48.03,1
2191.0,44.14670103092784,2013.0,34.09555660875644,-117.58497911482478,53.68790000000459,0.4361731792217538,-0.14705,345.0,60710021071.0,48221.0,215.0,197.0,284100.0,1014.0,150.0,1449.0,28.1,16132.0,39.0,-3.661217181242137,0.0,0.0,1.0,0.0,1.0,0.0,2272,Mediterranean,Urban,Mediterranean|Urban,1.617156149163236,0.5326645392821086,0.3955018329751809,0.6967941120894908,0.5243416419515067,52.43,2
1290.0,43.0578787878788,2013.0,34.06860715023286,-117.62091172618956,57.29409999999958,0.4346571201978388,-0.1405419,311.0,60710015041.0,38462.0,372.0,375.0,365800.0,1236.0,619.0,2851.0,26.0,11245.0,227.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2274,Mediterranean,NonUrban,Mediterranean|NonUrban,-1.305249250054196,0.56116753453892,0.5402075931537331,0.6243317932249106,0.5675124038605621,56.75,3
485.0,42.61720000000004,2013.0,34.04165769170927,-117.64786118471314,53.90099999999912,0.4374498880516796,-0.15384427,264.0,60710018121.0,38625.0,353.0,259.0,206600.0,946.0,359.0,1899.0,42.0,15186.0,69.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2275,Mediterranean,NonUrban,Mediterranean|NonUrban,-1.8731083589219324,0.5371448416366226,0.4401616814319107,0.6586342092557838,0.5323477670990413,53.23,2
404.0,42.45141414141415,2013.0,34.03267453886807,-117.64786118471314,56.51090000000293,0.4466224325383944,-0.13993548,255.0,60710018101.0,37267.0,310.0,85.0,40000.0,1632.0,107.0,2052.0,30.7,9686.0,120.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2312,Mediterranean,NonUrban,Mediterranean|NonUrban,-2.063247895995076,0.5261146693178496,0.359554811182238,0.6069629141513788,0.4923163608438719,49.23,2
2920.0,42.6708080808081,2013.0,34.11352291443883,-117.58497911482478,48.59569999999725,0.4534613987797189,-0.1454333,371.0,60710020281.0,66003.0,198.0,185.0,285100.0,1147.0,324.0,2163.0,35.8,29393.0,14.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2313,Mediterranean,NonUrban,Mediterranean|NonUrban,-1.52996210054323,0.5418014707772733,0.3968502721618198,0.5188932597798838,0.4937344689931593,49.37,2
3663.0,41.07440000000003,2013.0,34.13148922012122,-117.54904650346,50.65019999999554,0.4234486775044902,-0.14187019,428.0,60710020312.0,124631.0,94.0,139.0,371600.0,2001.0,117.0,2625.0,38.3,43235.0,0.0,-3.661217181242137,0.0,0.0,0.0,1.0,0.0,1.0,2314,Semi-Arid (Cold),NonUrban,Semi-Arid (Cold)|NonUrban,-4.208287291060003,0.42462376108507366,0.4578023680776351,0.019417475728155362,0.3535360861114584,35.35,0
4034.0,40.78151515151515,2013.0,34.140472372962414,-117.54904650346,43.44680000000192,0.4163302462385509,-0.1437256,470.0,60710020212.0,107467.0,159.0,91.0,353800.0,2001.0,92.0,1786.0,38.6,36133.0,10.0,-3.661217181242137,0.0,0.0,0.0,1.0,0.0,1.0,2316,Semi-Arid (Cold),NonUrban,Semi-Arid (Cold)|NonUrban,-4.3822917925862015,0.41107244706858614,0.3794835765463742,0.09884135013309978,0.3391495665248253,33.91,0
1587.0,45.03180000000003,2013.0,34.07759030307405,-117.3514171409537,46.09500000000063,0.4083641829009413,-0.1394731,347.0,60710036121.0,51389.0,350.0,157.0,199700.0,1487.0,145.0,2226.0,23.6,12770.0,91.0,-3.661217181242137,0.0,0.0,0.0,1.0,0.0,1.0,2323,Semi-Arid (Cold),NonUrban,Semi-Arid (Cold)|NonUrban,-0.48015653162317307,0.6040211220146832,0.33892554893519955,0.5146344639450693,0.5066151184769153,50.66,2
1321.0,46.0104040404041,2013.0,34.06860715023286,-117.3424339881125,47.08620000000251,0.4221031003811617,-0.16430208,321.0,60710040041.0,46382.0,242.0,263.0,106400.0,1283.0,94.0,2989.0,25.8,13271.0,62.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2325,Mediterranean,NonUrban,Mediterranean|NonUrban,1.674335645234713,0.6871335794100193,0.4279327677871338,0.604361434280935,0.5928189068973369,59.28,3
1322.0,45.39959183673473,2013.0,34.06860715023286,-117.33345083527132,55.04650000000002,0.4068592435655141,-0.14171994,313.0,60710066013.0,22250.0,393.0,180.0,206700.0,799.0,178.0,1393.0,30.0,10002.0,86.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2326,Mediterranean,NonUrban,Mediterranean|NonUrban,1.0418757273544514,0.663615897204404,0.32721388804561813,0.6903953504264869,0.5680511851011848,56.81,3
4441.0,43.83103092783509,2013.0,34.14945552580361,-117.25260245970055,47.60990000000443,0.4036079267268637,-0.13367672,365.0,60710062032.0,20291.0,392.0,292.0,52700.0,810.0,522.0,2390.0,29.0,10151.0,252.0,-3.661217181242137,1.0,0.0,0.0,0.0,0.0,1.0,2327,Arid (Cold),NonUrban,Arid (Cold)|NonUrban,-2.4612828784619794,0.4187702200263459,0.6200834716862748,0.9165509624445821,0.5787203440079718,57.87,3
1058.0,45.34775510204085,2013.0,34.05962399739166,-117.30650137674772,54.72580000000403,0.3693515196055205,-0.102102466,279.0,60710071081.0,32745.0,403.0,168.0,88100.0,884.0,905.0,2243.0,27.8,18637.0,80.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2329,Mediterranean,NonUrban,Mediterranean|NonUrban,0.8980362072642976,0.6514825807083786,0.3346195101188898,0.7787811599345996,0.5818833753767761,58.19,3
18544.0,46.55141414141417,2013.0,34.48183218092783,-117.3514171409537,49.69089999999698,0.363691165243128,-0.12758978,954.0,60710099082.0,51174.0,333.0,133.0,122400.0,1434.0,122.0,2074.0,33.1,20179.0,57.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2330,Mediterranean,NonUrban,Mediterranean|NonUrban,3.9282211331814025,0.7839957994500737,0.3457613599374311,0.5544946039714952,0.6066252285005652,60.66,4
3685.0,46.24377358490568,2016.0,34.13148922012122,-117.3514171409537,34.37789999999472,0.3574655010156964,-0.113959156,382.0,60710038042.0,51196.0,283.0,53.0,255500.0,1826.0,58.0,1526.0,30.3,17273.0,16.0,-0.6612171812421366,0.0,1.0,0.0,0.0,0.0,1.0,2331,Arid (Hot),NonUrban,Arid (Hot)|NonUrban,-0.6122158764390164,0.4856714697330536,0.2854345969962472,0.5560723187700657,0.43968057771941405,43.97,1
3283.0,39.92262135922333,2013.0,34.12250606728003,-117.63887803187194,39.45479999999683,0.5186296384015767,-0.1938892,438.0,60710008193.0,82229.0,116.0,39.0,407300.0,2001.0,217.0,1548.0,43.9,39714.0,40.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2332,Mediterranean,NonUrban,Mediterranean|NonUrban,-4.096849215611805,0.4277086884949173,0.3932456683227124,0.3006753671485329,0.39196311817397894,39.2,0
2212.0,44.76800000000005,2013.0,34.09555660875644,-117.39633290515968,65.35290000000678,0.3658083869313195,-0.06961311,375.0,60710035101.0,30795.0,372.0,336.0,143800.0,959.0,545.0,2530.0,26.5,10208.0,138.0,-3.661217181242137,0.0,0.0,0.0,1.0,0.0,1.0,2333,Semi-Arid (Cold),NonUrban,Semi-Arid (Cold)|NonUrban,-0.6647029669840379,0.5988686713654928,0.4688743513844241,0.7607882032362545,0.5922542817453246,59.23,3
2930.0,42.518686868686885,2013.0,34.11352291443883,-117.4951475864128,49.23560000000254,0.4588032615367011,-0.15880555,375.0,60710020382.0,82009.0,435.0,491.0,333500.0,2001.0,90.0,2531.0,26.9,24848.0,0.0,-3.661217181242137,0.0,0.0,0.0,1.0,0.0,1.0,2334,Semi-Arid (Cold),NonUrban,Semi-Arid (Cold)|NonUrban,-2.9140160982972034,0.48571819895247637,0.4287849552104504,0.22501160959956126,0.41649690795928557,41.65,0
8607.0,32.63404255319152,2013.0,34.24827020705676,-117.54904650346,0.0974999999998793,0.4305298573095431,-0.14622702,1401.0,60710092021.0,57454.0,234.0,88.0,382700.0,1586.0,79.0,1501.0,38.6,32007.0,24.0,-3.661217181242137,0.0,0.0,1.0,0.0,1.0,0.0,2455,Mediterranean,Urban,Mediterranean|Urban,-5.817451104337394,0.07047067278081502,0.3728771915477963,0.5339199262536377,0.25388247910547396,25.39,0
14035.0,37.0565168539326,2013.0,34.37403434683349,-117.62989487903074,0.0,0.4707923657220378,-0.17686085,1978.0,60710092012.0,40714.0,129.0,15.0,220100.0,969.0,289.0,1165.0,30.7,27429.0,0.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2462,Mediterranean,NonUrban,Mediterranean|NonUrban,-2.795768735306325,0.4478037985059346,0.27367355007415606,0.5969494281857826,0.42539384991237067,42.54,0
293.0,43.80885714285717,2016.0,34.01470823318569,-117.58497911482478,39.446099999999774,0.4092987401507088,-0.13695109,231.0,60710019061.0,88571.0,812.0,157.0,376400.0,2166.0,143.0,4746.0,33.6,30267.0,87.0,-0.6612171812421366,0.0,1.0,0.0,0.0,0.0,1.0,2464,Arid (Hot),NonUrban,Arid (Hot)|NonUrban,-4.057936310299667,0.33846250925652777,0.4516146903489947,0.3962177223997281,0.3839592062129079,38.4,0
2545.0,43.35230769230772,2016.0,34.10453976159764,-117.67481064323673,62.72959999999792,0.426096601505193,-0.12199178,407.0,60710008232.0,44808.0,178.0,56.0,341700.0,1169.0,852.0,1993.0,31.9,25788.0,130.0,-0.6612171812421366,0.0,1.0,0.0,0.0,0.0,1.0,2470,Arid (Hot),NonUrban,Arid (Hot)|NonUrban,-3.3363301147634488,0.3820516703880244,0.46709395003798126,0.7222281249274076,0.4755996451908881,47.56,1
2544.0,41.7817647058824,2013.0,34.10453976159764,-117.68379379607792,60.60090000000185,0.3389466437674165,-0.08161478,410.0,60710008211.0,43255.0,366.0,188.0,188500.0,1392.0,1396.0,3625.0,28.6,20174.0,135.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2471,Mediterranean,NonUrban,Mediterranean|NonUrban,-2.3134728686908375,0.5190241762516855,0.442859946030849,0.7357701390343585,0.5395240997419691,53.95,3
4401.0,41.30532710280378,2016.0,34.14945552580361,-117.61192857334837,32.83050000000125,0.460460887518515,-0.169844,533.0,60710020111.0,120382.0,313.0,92.0,586500.0,2592.0,53.0,2457.0,41.4,40484.0,42.0,-0.6612171812421366,0.0,1.0,0.0,0.0,0.0,1.0,2473,Arid (Hot),NonUrban,Arid (Hot)|NonUrban,-4.5398583667287795,0.3148896488408746,0.4177578655893906,0.1875324769881594,0.32027867949488636,32.03,0
1062.0,43.98020408163269,2013.0,34.05962399739166,-117.27056876538292,38.08980000000124,0.3463860700293468,-0.08908802,308.0,60710073032.0,20938.0,34.0,54.0,69100.0,1019.0,473.0,1423.0,30.1,19812.0,77.0,-3.661217181242137,0.0,0.0,1.0,0.0,0.0,1.0,2479,Mediterranean,NonUrban,Mediterranean|NonUrban,-0.3910418491293868,0.5804068844251092,0.3741209512166791,0.71641520579954,0.5457227687374664,54.57,3
